YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,LZIB,Bratislava,Slovakia,7,,,,,,,,,,,,,,,,,,,,v2,Bratislava (LZIB)
2022,1,JAN,1-Jan-2022,EIKY,Kerry/Farranfore,Ireland,4,,,,,,,,,,,,,,,,,,,,v2,Kerry/Farranfore (EIKY)
2022,1,JAN,1-Jan-2022,LEST,Santiago,Spain,27,,,,,,,,,,,,,,,,,,,,v2,Santiago (LEST)
2022,1,JAN,1-Jan-2022,LFKB,Bastia-Poretta,France,21,,,,,,,,,,,,,,,,,,,,v2,Bastia-Poretta (LFKB)
2022,1,JAN,1-Jan-2022,UKBB,Kiev/Boryspil,Ukraine,50,,,,,,,,,,,,,,,,,,,,v2,Kiev/Boryspil (UKBB)
2022,1,JAN,1-Jan-2022,LEZL,Sevilla,Spain,61,,,,,,,,,,,,,,,,,,,,v2,Sevilla (LEZL)
2022,1,JAN,1-Jan-2022,LFJL,Metz-Nancy-Lorraine,France,2,,,,,,,,,,,,,,,,,,,,v2,Metz-Nancy-Lorraine (LFJL)
2022,1,JAN,1-Jan-2022,EICK,Cork,Ireland,18,,,,,,,,,,,,,,,,,,,,v2,Cork (EICK)
2022,1,JAN,1-Jan-2022,ENHD,Haugesund,Norway,4,,,,,,,,,,,,,,,,,,,,v2,Haugesund (ENHD)
2022,1,JAN,1-Jan-2022,LKMT,Ostrava,Czech Republic,1,,,,,,,,,,,,,,,,,,,,v2,Ostrava (LKMT)
