"DateTime","Scheduled flights","Tracked flights"
"2022-01-20",21,20
"2022-01-21",18,18
"2022-01-22",31,29
"2022-01-23",24,23
"2022-01-24",21,19
"2022-01-25",20,19
"2022-01-26",19,19
"2022-01-27",27,26
"2022-01-28",22,21
"2022-01-29",32,31
"2022-01-30",23,21
"2022-01-31",16,16
"2022-02-01",28,25
"2022-02-02",22,20
"2022-02-03",29,28
"2022-02-04",30,28
"2022-02-05",32,31
"2022-02-06",27,26
"2022-02-07",20,20
"2022-02-08",23,23
"2022-02-09",22,21
"2022-02-10",31,29
"2022-02-11",26,23
"2022-02-12",37,37
"2022-02-13",28,27
"2022-02-14",20,20
"2022-02-15",28,28
"2022-02-16",21,21
"2022-02-17",33,30
"2022-02-18",29,26
