"DateTime","Scheduled flights","Tracked flights"
"2022-01-20",9,9
"2022-01-21",24,24
"2022-01-22",14,14
"2022-01-23",21,21
"2022-01-24",21,20
"2022-01-25",10,10
"2022-01-26",14,14
"2022-01-27",8,8
"2022-01-28",24,23
"2022-01-29",14,14
"2022-01-30",22,21
"2022-01-31",20,20
"2022-02-01",15,15
"2022-02-02",19,19
"2022-02-03",15,15
"2022-02-04",31,31
"2022-02-05",22,22
"2022-02-06",27,27
"2022-02-07",28,28
"2022-02-08",16,16
"2022-02-09",20,20
"2022-02-10",15,15
"2022-02-11",31,31
"2022-02-12",25,24
"2022-02-13",27,27
"2022-02-14",29,29
"2022-02-15",15,15
"2022-02-16",19,19
"2022-02-17",17,17
"2022-02-18",31,31
