"DateTime","Scheduled flights","Tracked flights"
"2022-01-20",146,142
"2022-01-21",149,145
"2022-01-22",125,121
"2022-01-23",137,134
"2022-01-24",144,139
"2022-01-25",136,123
"2022-01-26",141,133
"2022-01-27",152,142
"2022-01-28",154,149
"2022-01-29",128,123
"2022-01-30",137,133
"2022-01-31",149,141
"2022-02-01",123,111
"2022-02-02",129,126
"2022-02-03",142,134
"2022-02-04",136,130
"2022-02-05",123,119
"2022-02-06",131,127
"2022-02-07",138,130
"2022-02-08",113,107
"2022-02-09",126,122
"2022-02-10",152,144
"2022-02-11",144,140
"2022-02-12",132,123
"2022-02-13",139,136
"2022-02-14",141,138
"2022-02-15",119,113
"2022-02-16",131,125
"2022-02-17",141,132
"2022-02-18",142,133
