date,cases
2021-12-09,3760048
2021-12-10,3785036
2021-12-11,3808798
2021-12-12,3828248
2021-12-13,3839625
2021-12-14,3857085
2021-12-15,3881349
2021-12-16,3903445
2021-12-17,3923472
2021-12-18,3942864
2021-12-19,3958840
2021-12-20,3968450
2021-12-21,3982257
2021-12-22,4000270
2021-12-23,4017420
2021-12-24,4032796
2021-12-25,4043585
2021-12-26,4049838
2021-12-27,4054865
2021-12-28,4064715
2021-12-29,4080282
2021-12-30,4094608
2021-12-31,4108215
2022-01-01,4120248
2022-01-02,4127428
2022-01-03,4133851
2022-01-04,4145518
2022-01-05,4162715
2022-01-06,4179292
2022-01-07,4191193
2022-01-08,4202090
2022-01-09,4213197
2022-01-10,4220984
2022-01-11,4232386
2022-01-12,4248559
2022-01-13,4265433
2022-01-14,4281482
2022-01-15,4298375
2022-01-16,4313036
2022-01-17,4323482
2022-01-18,4343130
2022-01-19,4373718
2022-01-20,4406553
2022-01-21,4443217
2022-01-22,4484095
2022-01-23,4518218
2022-01-24,4547315
2022-01-25,4584360
2022-01-26,4637776
2022-01-27,4695435
2022-01-28,4752700
2022-01-29,4804390
2022-01-30,4852677
2022-01-31,4886154
2022-02-01,4925270
2022-02-02,4981321
2022-02-03,5035796
2022-02-04,5083332
2022-02-05,5129080
2022-02-06,5163780
2022-02-07,5185757
2022-02-08,5217106
2022-02-09,5258785
2022-02-10,5296386
2022-02-11,5328492
2022-02-12,5356647
2022-02-13,5376674
2022-02-14,5388907
2022-02-15,5408754
2022-02-16,5434424
2022-02-17,5460552
